type,intro,title,content
10,唱念语音一般为苏州吴语或者有入声的中州韵，一些丑角的念白亦使用有翘舌音的苏白。,声母,(1)尖团音\n和大多数戏曲一致，昆曲区分尖团音。精清从心邪母接细音的读尖音，见溪群晓匣母接细音的读团音。\n如：细、戏、七、气、积、极\n(2)翘舌音\n和有翘舌音的吴语-苏州话的发音方法一致，舌头抵下齿龈，不卷舌。平翘分法和苏州评弹略异。\n苏州话无卷舌音r，昆曲按苏州话文读的发音，把日母字声母读为[?]，非吴语区的人容易听成[?]，实为浊音。\n(3)轻唇音v\n和吴语的文读一致，昆曲所有微母字均读v。\n如：文、无、忘。\n(4)疑母ng\n“我”等字保留疑母ng。但昆曲疑母字数量远远少于苏州话，且[?]不能接[i]、[y]、[u]。\n(5)浊音\n受苏州话影响，昆曲少数字会保留浊音，但不成体系，无法与苏州话完整的浊音体系相比。\n(6)其他\n一些以、云母字官话的声母异化为r，昆曲使用原音。\n如：容蓉融荣
11,,韵母,(1)保留入声\n和吴语一致，昆曲保留入声，收喉塞尾，不区分韵尾。\n如：七、积。\n(2)居鱼韵\n这些音在一部分吴语中，读舌面音。在昆曲中读翘舌音细音。\n如：志、智；楚、处；笙、声。\n(3)东同韵\n和苏州话一致，风与东的韵母相同。\n(4)机微韵\n如：非肥痱费妃[fi]\n(5)皆韵\n如：皆街解戒介、蟹懈鞋骇骸、楷揩、挨隘[iai]\n(6)梗韵\n腭化读\n如：更、坑、衡。\n(7)姑模韵\n可以读[u]，也可以按苏州口音，读[ou]。\n(8)歌罗韵\n歌罗韵韵母为[o]、[uo]\n例：个[ko]≠过[kuo]；何[ho]≠和[huo]；罗[lo]≠螺[luo]。\n(9)其他\n龙\n官[kuon]≠关[kuan]（同苏州话）；间≠肩
20,昆剧行腔优美，以缠绵婉转、柔漫悠远见长。在演唱技巧上注重声音的控制，节奏速度的顿挫疾徐和咬字吐音的讲究，场面伴奏乐曲齐全。,水磨腔,这种行腔奠定了昆剧演唱的特色，充分体现在南曲的慢曲子(即"细曲")中，具体表现为放慢拍子，延缓节奏，以便在旋律进行中运用较多的装饰性花腔，除了通常的一板三眼、一板一眼外，又出现了"赠板曲"，即将4/4拍的曲调放慢成8/4，声调清柔委婉，并对字音严格要求，平、上、去、入逐一考究，每唱一个字，注意咬字的头、腹、尾，即吐字、过腔和收音，使音乐布局的空间增大，变化增多，其缠绵婉转、柔曼悠远的特点也愈加突出。
21,,何为“腔纯”？,腔纯为明魏良辅所谓的唱曲三绝之一，讲究南、北曲不杂，出字轻重适宜，反切圆熟无痕迹(即头腹尾三字切音法)，归韵粗细得当，收音高低得恰，吐字、板眼、过腔得宜，南曲婉转、北曲道劲。今唱曲行腔有八字金言，即“轻重疾徐、抑扬顿挫”
22,,“行腔”四要求,①不同行当的行腔有不同特色，净、未等阔口行当行腔讲究简洁干净，字音浑重、顿感强，转腔力度大但又不粗养草率;生、旦等细口行当行腔讲究细腻婉转，字音清真，转腔圆柔而内含刚劲;②南、北曲行腔的整体风貌有所不同，南曲行腔静处见长，潺潺如流水，而北曲行腔巧处讨好，铮铮如钟罄;③连续工尺(唱音)的技术处理灵活多变，不能将所有的音唱得一样，需有轻重之分、强弱之别和吐送力量的往返运行态势，清《顾误录》言“宜大宜小、宜连宜断、宜申(伸)宜缩之处”需在唱曲时“自为变通、随时理会”:④唱曲时要处理好字与腔的关系，虽然腔的形成依靠字音的结构，但在长腔、繁腔时，腔是放大的字音结构的某个部分，换言之是将字音结构停留在适当的位置做腔，腔快结束时再推进字音结构。所以，《顾误录》将之总结为“字为主、腔为宾，字宜重、腔宜轻，字宜刚、腔宜柔”三种字腔关系。
30,,生,「生」这个家门中，又分为官生、巾生、穷生、雉尾生，用以表演不同的角色人物。官生一行，扮演做了官的成年男子。其中由于年龄大小、身分高低不同又分大、小官生。例如《长生殿》的唐明王、《太白醉写》中的李白都由大官生扮演；《荆钗记》中的王十朋、《金雀记》中的潘岳都由小官生扮演。\n官生与巾生的表演有所不同：巾生饰演风流儒雅的年轻书生，清洒飘逸，歌唱要求真假嗓结合，假嗓成份较大，清脆悦耳；官生在表演上要洒脱大方，大官生更要富于气派，在唱法上也是真假嗓结合，但真嗓落在比巾生用真嗓时更高的音域，以洪亮为美。
31,,旦,旦行也细分为老旦、正旦、作旦、四旦（即刺杀旦）、五旦、六旦。但实践中还有一个贴旦，共为七个家门。\n正旦一般扮演身份比较贫寒的已婚女子，如《琵琶记》中的赵五娘，《金锁记》中的窦娥，《货郎担》中的张三姑等。正旦在表演上侧重朴实大方，在唱法上，咬字喷口都要有较大的力度，音色明亮、宽厚，音量也要求较大。正旦剧目颇丰富，所扮演各类人物性格均具鲜明特点，为演员提供了宽广的表演空间。
32,,净,净行分大面与白面，大面脸谱以红、黑二色为主，故有“七红、八黑、三和尚”之说；\n白面大多扮演反面人物，除眼纹外，全脸皆涂以白粉，通常又分成相貂白面、褶子白面、短衫白面等，白面有时也扮正面人物，或无所谓好坏的角色，有时也扮女角等。\n还有由白面行中析出的邋遢白面，除面涂白粉以外，在眼角、鼻窝等处，加上一些黑纹，故名。所扮者大多是下三流角色，又近于插科打诨式的人物。
33,,末,末行又细分为老生、末、老外。\n昆剧老生不分文武，如《宝剑记》的林冲，《麒麟阁》的秦琼等。末脚所戴胡须也是从黑三到白满，与老生同。\n末，原来是戏中当场男子的总称，大约和后来的生意思差不多。宋元就有“末泥色”之称。在南戏中，生、末向来是分档的，生是主要角色。近现代在有些剧种里末这个家门没有了。在昆剧，末行还是有的，是专门扮演中年以上、蓄须带髯的脚色，可细分为老生、副末和外。其中外的年龄最大些，带白色或花白色须，余二者一般为黑色或彩色。可以从他们所扮演的人物看出其间的关系和差异。
34,,丑,丑行又分为付丑(亦称副丑)和小丑两个家门。其区别是副的面部白块画过两边眼梢，而丑只画到眼的中部，副常穿褶子、宫衣、袍，而丑多穿短衣。\n昆剧重丑角，还表现在这一行当所扮演的舞台人物，都有其独特的表演要求和“绝活”。如付丑擅演的《西厢记·游殿》中的法聪，重白口；《宋十回·活捉》中的张文远，重做功；《跃鲤记·芦林》中的姜诗则长于唱。而小丑赵奇的“五毒戏”更具特色，它通过人物的特殊表演，形象地摹拟了五种有毒动物的形态。如《雁翎甲·盗甲》中时迁的表演像壁虎，《连环记·问探》中探子的表演像蜈蚣，《孽海记·下山》中小和尚的表演像蛤蟆，《六月雪·羊肚》中张母的表演像游蛇，《武十回·诱叔》中武大郎的表演像蜘蛛等等。在这些戏中，丑角不仅仅是插科打诨、滑稽逗笑，而是在幽默的表演中见功力、见人物，戏曲界就有一句称赞丑行的谚语：“无丑不成戏”。
40,语出清·王德晖、徐沅澄《顾误录》，指唱曲的八点要领。,审题,明了曲情，设身处地体会神情。力求“悲者黯然魂消，欢者怡然自得”。忽视“审题”，即口中有曲，而心内无曲，则全无韵味。
41,,叫板,曲牌之起板各异，有的曲牌在一、二字后起板，有的一、二句后方起板。起板之句，板前无论几字，应尽量连唱，一气呵成。临到板前一字，应蓄势控制，以定起板后节奏。此一字之唱法称作“叫板”。
42,,出字,出字应通过反切成音，不可一泄而尽。
43,,做腔,指出字后的唱腔处理。阔口曲须简洁，字要留顿，转变处要有棱角，收放处要有安排，最忌粗率；小口曲宜细腻，出字清真。若南曲腔多调缓，须于静处见长，北曲字多调促，须于巧处讨好。做腔的原则是：“字为主、唱为宾；字宜重、腔宜轻；字宜刚、腔宜柔。”
44,,收韵,指正确的归韵方法。
45,,换板,指某种情况下，须通过加板或撤板“以符定数”。度曲至此，应“将气势搬足，顺其自然节奏”方无拗折之患。
46,,散板,指散唱的处理方法。形似散而神不散，全赖掌握好缓急轻重，恰到好处。所谓“有停顿，有连贯，有抑有扬，有伸有缩”。
47,,擞声,指擞腔处理，须“起得有势、做得圆转、收得飘逸、自然入听。最忌不合尺度，含混不清，似有似无，令人莫辨”。
